org_id remap_id freebase_id
3 0 m.0676dr
62 1 m.016z98
70 2 m.029k4p
110 3 m.01gc7
260 4 m.0dtfn
266 5 m.02__34
480 6 m.0hx4y
541 7 m.017n9
589 8 m.07gp9
908 9 m.0jqd3
924 10 m.08ct6
1196 11 m.0f3m1
1210 12 m.0ddjy
1214 13 m.067ghz
1249 14 m.01n81q
1259 15 m.0m2kd
1270 16 m.0bt4g
1327 17 m.0b8gf1
1356 18 m.06r2h
1544 19 m.0315rp
1580 20 m.016dj8
1673 21 m.02b6n9
1748 22 m.063m9m
1974 23 m.016mng
2454 24 m.02p8gn
2455 25 m.02bqxb
2948 26 m.025twgt
2951 27 m.028zh1
3150 28 m.0bdn0f
3173 29 m.01gglm
3450 30 m.0676by
3513 31 m.04gknr
3555 32 m.07xvf
3703 33 m.01mypy
3753 34 m.0gltv
3917 35 m.0jg8z
3923 36 m.09sfrg
3926 37 m.0428q1
3927 38 m.03_f9d
3928 39 m.0hv2q
3930 40 m.0jhpk
3937 41 m.0834qx
11 42 m.01m3wp
141 43 m.01jrbv
150 44 m.011yd2
282 45 m.01dh6f
316 46 m.070g7
318 47 m.07jnt
350 48 m.02v6_c
364 49 m.0m63c
368 50 m.021jdm
370 51 m.062b7h
376 52 m.0bp0wf
377 53 m.0pb33
380 54 m.0hwpz
440 55 m.0339_4
454 56 m.01q7h2
457 57 m.05znxx
475 58 m.0_b3d
491 59 m.07xmz1
500 60 m.01y_sf
508 61 m.02d413
529 62 m.02rhjj
531 63 m.049cgk
587 64 m.0y_pg
588 65 m.0jnwx
590 66 m.0y_9q
594 67 m.0k4d7
595 68 m.0_7w6
671 69 m.03sc3z
720 70 m.0b04wt
736 71 m.01s7w3
780 72 m.0ds2n
832 73 m.03xx0x
1028 74 m.0kcn7
1035 75 m.0cq7tx
1036 76 m.0p3_y
1042 77 m.0pvms
1079 78 m.01sxly
1080 79 m.04k2p
1097 80 m.0jqn5
1136 81 m.04zl8
1198 82 m.0f4yh
1291 83 m.0h_b6x1
1393 84 m.011ykb
1 85 m.0dyb1
10 86 m.01npcx
21 87 m.0277j40
47 88 m.01dc0c
48 89 m.023p7l
161 90 m.04sg0b
207 91 m.06nq0j
236 92 m.0dbwm
253 93 m.02p76f9
277 94 m.051xs93
288 95 m.059rc
292 96 m.036r3f
296 97 m.0f4_l
339 98 m.01gzmk
349 99 m.05h12k
356 100 m.0bdjd
357 101 m.02_kd
372 102 m.01z7v5
381 103 m.03681w
434 104 m.037xlx
442 105 m.02ny6g
527 106 m.0hfzr
539 107 m.01gzln
550 108 m.06597h
551 109 m.0243cq
553 110 m.02ljhg
592 111 m.01hp5
593 112 m.07cyl
597 113 m.014l6_
610 114 m.014bpd
648 115 m.035w2k
733 116 m.07bx6
32 117 m.07j6w
95 118 m.02lgqm
160 119 m.03tn80
185 120 m.01sk1v
225 121 m.07tdzq
315 122 m.074rg9
367 123 m.05567m
420 124 m.049kmb
435 125 m.05yxmk
474 126 m.0320gs
509 127 m.0_b9f
34 128 m.011ydl
246 129 m.01z9n6
515 130 m.05cvgl
596 131 m.019kyn
608 132 m.011yhm
39 133 m.0qjzd
122 134 m.0695g8
916 135 m.0k419
934 136 m.0kxpq
1197 137 m.07nn0
1265 138 m.011x_4
1380 139 m.01xlqd
1500 140 m.058q46
1753 141 m.03259y
1923 142 m.01pgp6
2144 143 m.032xrj
2248 144 m.02vwqb
2406 145 m.02rxf6
2470 146 m.01wzyq
2716 147 m.01d2v1
2791 148 m.0ckt6
2924 149 m.028hy8
3210 150 m.02bc6c
3461 151 m.0kvfd1
3548 152 m.02plbgx
3760 153 m.03ndtd
3868 154 m.01h7n7
4066 155 m.05cql0
4085 156 m.032cs4
4089 157 m.04fpr4
6 158 m.0bxsk
7 159 m.04wdfw
14 160 m.016z9n
17 161 m.011yg9
61 162 m.06tw0x
74 163 m.08zcb0
86 164 m.07chp9
88 165 m.040mt6
100 166 m.03_w9b
112 167 m.0163_s
135 168 m.02zzbh
494 169 m.0hqrx
609 170 m.0d7vdj
628 171 m.0422v0
656 172 m.09m5f_
694 173 m.0276569
710 174 m.02f4wh
724 175 m.0lwff
725 176 m.03205n
786 177 m.02fhm6
788 178 m.0d87hc
802 179 m.03936g
1073 180 m.017kz7
50 181 m.016fyc
300 182 m.011ycb
104 183 m.023vcd
162 184 m.03jfly
231 185 m.0372j5
778 186 m.0qf2t
1131 187 m.041cjn
1172 188 m.04m1bm
1300 189 m.09rz22
1307 190 m.082zg
1584 191 m.026lgs
1610 192 m.09ldwy
1721 193 m.0dr_4
1961 194 m.0yx_w
2150 195 m.01mrrd
2420 196 m.0mmbb
2683 197 m.01k1k4
2699 198 m.01wgmz
2761 199 m.03g7m3
2959 200 m.03yvf2
3481 201 m.025rxjq
3508 202 m.0j_xl
3608 203 m.027tg5
4023 204 m.0ptdz
4159 205 m.035gnh
4321 206 m.01zfzb
4464 207 m.027yks7
4499 208 m.029hx6
5064 209 m.03kg2v
6380 210 m.02t_4n
6934 211 m.01dyvs
7293 212 m.02f6g5
8622 213 m.02v570
8636 214 m.02wgk1
8900 215 m.07_wlr
27808 216 m.04p7q_
30822 217 m.05fmsx
25 218 m.0f4vx
58 219 m.011yfd
319 220 m.03ljq9
337 221 m.0306c6
342 222 m.01_p7z
497 223 m.05gv03
535 224 m.0320fn
708 225 m.034d47
745 226 m.0161fz
1047 227 m.03305j
293 228 m.04q5g
345 229 m.02fwfb
1077 230 m.02srl9
1078 231 m.04t6jm
1215 232 m.014hr
1230 233 m.0hmr4
1304 234 m.0p9tm
1639 235 m.0gd92
2000 236 m.01j65x
2001 237 m.033g1f
2002 238 m.033g3n
2115 239 m.0k_9j
2355 240 m.02c7k4
2746 241 m.09cxm4
2949 242 m.025twgf
3301 243 m.0g5qvj
3654 244 m.0gzy02
3751 245 m.01pv91
3754 246 m.04d5_k
3793 247 m.0d90m
3814 248 m.03pr8r
3836 249 m.03r8x1
3873 250 m.015gm_
155 251 m.0db1b1
195 252 m.0fz8lt
233 253 m.029903
237 254 m.026yq3c
276 255 m.0bdhhw
279 256 m.04xndx
289 257 m.0280m2w
371 258 m.06xz7w
378 259 m.0ch0zt
450 260 m.036r0k
467 261 m.09tp1v
501 262 m.05pws0
540 263 m.02qzmz6
111 264 m.07cw4
348 265 m.0421ng
352 266 m.06l2pj
441 267 m.02j69w
1060 268 m.01ylt7
1211 269 m.0822j
1248 270 m.0h1kp
1260 271 m.0hjsp
1354 272 m.03bxwl
1625 273 m.0b6ft5
1682 274 m.01hv3t
1704 275 m.011ypx
1747 276 m.0n1s0
1840 277 m.05k4z0
1892 278 m.019wds
2076 279 m.0191n
2289 280 m.01_456
2294 281 m.01dc46
2324 282 m.011yrp
2329 283 m.0170z3
2353 284 m.032sl_
2396 285 m.0m313
2571 286 m.07cz2
2710 287 m.07byq
2762 288 m.07j94
2908 289 m.02nczh
3006 290 m.011yth
3246 291 m.01rwyq
3536 292 m.0697_g
3543 293 m.04bn37
3578 294 m.09q5w2
85 295 m.070jd7
154 296 m.03gcyx
538 297 m.04y5j64
898 298 m.0gxfz
912 299 m.0ft18
913 300 m.0cbn7c
923 301 m.01lsl
953 302 m.0gcpc
969 303 m.0hv27
986 304 m.0hmk4
1084 305 m.0hvvf
1101 306 m.018js4
1213 307 m.0h6r5
1225 308 m.042y1c
1231 309 m.0sxgv
1234 310 m.0gw7p
1247 311 m.07cdz
1272 312 m.0pd4f
1292 313 m.015whm
1293 314 m.0209hj
1302 315 m.0yzp8
1357 316 m.011yl_
1537 317 m.04sm94
1672 318 m.01b195
1914 319 m.0540f_
1931 320 m.0bbgly
1949 321 m.0cq806
1957 322 m.01qz5
1962 323 m.0yyts
1964 324 m.01gm5j
2352 325 m.02nnnl
2585 326 m.04nyc_
2770 327 m.04_73f
2797 328 m.016ky6
2858 329 m.0c0zq
2863 330 m.01kyvd
2917 331 m.02n46r
2929 332 m.0c9k8
2969 333 m.01fd7j
3098 334 m.02r3w0v
31 335 m.054k8z
903 336 m.0k5g9
904 337 m.0jwvf
1092 338 m.02fqxm
1148 339 m.03mqwt
1193 340 m.07xtqq
1201 341 m.07rty
1207 342 m.0ccck7
1267 343 m.0fy66
1271 344 m.0kv0zn
1372 345 m.015bpl
1569 346 m.01pgnr
2019 347 m.07q78
2278 348 m.015qnh
3255 349 m.02ndy4
3256 350 m.09gt_0
3468 351 m.0283_zv
3717 352 m.03ljpk
3755 353 m.09q92l
3911 354 m.02stbw
4226 355 m.017z49
4993 356 m.017gl1
5952 357 m.017gm7
7153 358 m.017jd9
7361 359 m.02mt51
58559 360 m.0btpm6
920 361 m.083skw
922 362 m.0k4fz
926 363 m.0bj25
927 364 m.02710m8
1252 365 m.0hv4t
2291 366 m.01s3vk
2502 367 m.0nrnk
4920 368 m.018qn_
4973 369 m.0c296
5135 370 m.03rz2b
5878 371 m.06823p
6867 372 m.04b_jc
8607 373 m.03wgcl
45440 374 m.0bw3zf
2301 375 m.0291gk
3396 376 m.03kx49
4002 377 m.04zc0h
157 378 m.0328vs
1285 379 m.03m3j
1967 380 m.0184tc
2009 381 m.0cc7x
2085 382 m.018gvp
4312 383 m.08y1rm
4896 384 m.03176f
5816 385 m.031778
5829 386 m.053t4p
6016 387 m.02cb8w
7256 388 m.02r04s1
7324 389 m.02lk38
8368 390 m.03177r
8645 391 m.042hfs
26760 392 m.0cvf78
33358 393 m.02896ry
36517 394 m.09p0ct
40815 395 m.031786
40870 396 m.07gxzx
41566 397 m.0639bg
45722 398 m.03y0pn
50912 399 m.0bz3jx
53125 400 m.05nlx4
54001 401 m.031hcx
55247 402 m.02rx2m5
69844 403 m.03hxsv
70102 404 m.05f5gxy
71282 405 m.05q7yr2
71462 406 m.05fcc6n
79132 407 m.0661ql3
81834 408 m.02pth35
88125 409 m.0gvsynb
91500 410 m.0gkz15s
41 411 m.01hjxv
750 412 m.02dwj
897 413 m.0cjw2s
1050 414 m.05ss0g
1090 415 m.0sxmx
1177 416 m.03c058
1183 417 m.0pv3x
1192 418 m.079vv6
1204 419 m.0bx0l
1208 420 m.0jzw
1217 421 m.0k2m6
1222 422 m.0333t
1224 423 m.016ywb
1233 424 m.02h22
1242 425 m.02jxbw
1250 426 m.0bs4r
1262 427 m.018rvr
1263 428 m.0jqj5
1299 429 m.04j4tx
2028 430 m.07024
2427 431 m.011ysn
2609 432 m.027vjt1
2677 433 m.01nkyj
2763 434 m.076y36
2941 435 m.02q_4ph
2972 436 m.05z5cp
3035 437 m.03qlxf5
3062 438 m.04v89z
3066 439 m.0fxb2
3091 440 m.04f74c
5060 441 m.03pc89
24 442 m.07_l0f
443 443 m.02vklgp
1235 444 m.03gmw
1653 445 m.0bscw
2114 446 m.08xxwl
2138 447 m.03wh7z
2232 448 m.0211pk
2692 449 m.02chjf
2997 450 m.01z452
3083 451 m.0gpx6
3107 452 m.02t9_q
